"Code","Date","Start","High","Low","End","Transaction"
000020.KS,20000104,14100.00,16500.02,14100.00,16500.02,898500
000020.KS,20000105,16799.99,18950.01,15600.00,17500.02,3865300
000020.KS,20000106,17500.02,18399.98,14900.02,15199.99,1382300
000020.KS,20000107,15799.98,17450.00,15000.01,17450.00,2402900
000020.KS,20000110,19300.00,19600.02,16750.02,17000.02,3993200
000020.KS,20000111,17000.02,18499.98,16500.02,17350.01,1596600
000020.KS,20000112,17450.00,19950.01,17000.02,19950.01,3941200
000020.KS,20000113,19999.98,22300.01,18399.98,18600.02,11397200
000020.KS,20000114,18600.02,18600.02,15850.01,15850.01,4794700
000020.KS,20000117,15650.03,17000.02,15400.02,15699.99,3258000
000020.KS,20000118,16000.02,16500.02,15000.01,15100.00,2067600
000020.KS,20000119,15150.02,15799.98,14199.99,14299.98,2006600
000020.KS,20000120,14000.01,14400.02,13500.01,13799.98,1070400
000020.KS,20000121,14000.01,15199.99,13550.03,14100.00,2250100
000020.KS,20000124,14400.02,15199.99,14150.02,14299.98,1558400
000020.KS,20000125,14150.02,14699.99,13699.99,13699.99,939900
000020.KS,20000126,14100.00,14199.99,13500.01,13850.00,772300
000020.KS,20000127,14000.01,15750.02,13850.00,14500.01,3375200
000020.KS,20000128,15000.01,15000.01,14150.02,14600.00,1084700
000020.KS,20000131,14400.02,15199.99,14400.02,14400.02,1197200
000020.KS,20000201,14500.01,14699.99,14100.00,14299.98,898500
000020.KS,20000202,14600.00,15500.01,14299.98,15000.01,2065500
000020.KS,20000203,15100.00,15199.99,14500.01,14650.02,968000
000020.KS,20000204,14650.02,14650.02,14650.02,14650.02,000
000020.KS,20000207,14650.02,15150.02,14500.01,14750.01,1129800
000020.KS,20000208,15449.99,15900.03,14699.99,15000.01,1647000
000020.KS,20000209,15000.01,15900.03,14900.02,15600.00,2362000
000020.KS,20000210,15600.00,16049.98,14600.00,14600.00,1543600
000020.KS,20000211,14699.99,16399.98,14000.01,15750.02,3789500
000020.KS,20000214,16299.99,16450.00,14699.99,14799.98,2182200
000020.KS,20000215,15000.01,15000.01,13000.00,14299.98,1556300
000020.KS,20000216,14000.01,14500.01,13699.99,14000.01,833800
000020.KS,20000217,14100.00,15650.03,14100.00,15150.02,3029900
000020.KS,20000218,15799.98,17399.98,15600.00,17399.98,6627900
000020.KS,20000221,17600.01,19300.00,17000.02,17950.00,9021300
000020.KS,20000222,18000.03,18350.02,15299.98,16600.01,3467500
000020.KS,20000223,16600.01,17500.02,15500.01,16200.00,2960400
000020.KS,20000224,16549.99,17200.00,16000.02,16250.02,2189100
000020.KS,20000225,16100.01,16399.98,15449.99,15449.99,1993400
000020.KS,20000228,15000.01,15000.01,14199.99,14250.01,2072400
000020.KS,20000229,14500.01,15199.99,14500.01,14900.02,1653900
000020.KS,20000301,14900.02,14900.02,14900.02,14900.02,000
